Date,aapl-open,aapl-close,amzn-open,amzn-close,googl-open,googl-close,hcity-open,hcity-close,isrg-open,isrg-close,msft-open,msft-close,nflx-open,nflx-close,nvda-open,nvda-close
15-May-18,186.78,186.44,1587.8047,1576.12,1096.9,1084.87,25.13,24.55,461.6,456.83,97.24,97.32,325.94,326.13,252.79,245.56
14-May-18,189.01,188.15,1604.0,1601.54,1105.57,1106.6,25.43,25.22,469.56,466.19,97.92,98.03,327.25,328.53,256.07,255.36
11-May-18,189.49,188.59,1610.99,1602.91,1100.41,1103.38,25.66,25.33,468.09,468.35,97.8,97.7,329.65,326.46,252.78,254.53
10-May-18,187.74,190.04,1608.48,1609.08,1095.0,1105.47,25.0,25.56,464.01,468.4,97.46,97.91,331.5,329.6,257.92,260.13
9-May-18,186.55,187.36,1600.0,1608.0,1064.1,1088.95,25.02,24.94,463.79,462.27,96.01,96.94,328.79,330.3,251.21,255.78
8-May-18,184.99,186.05,1595.0,1592.39,1064.62,1058.59,24.98,25.19,463.0,462.6,95.8456,95.81,325.9,326.89,248.69,250.4
7-May-18,185.18,185.16,1589.34,1600.14,1053.89,1059.46,26.11,24.98,461.0,465.4,95.17,96.22,321.9947,326.26,243.2947,248.68
4-May-18,178.25,183.83,1562.45,1580.95,1019.61,1051.0,26.0,26.11,447.05,460.42,93.32,95.16,308.71,320.09,231.83,239.06
3-May-18,175.88,176.89,1560.01,1572.08,1025.37,1026.3,26.1,26.42,446.0,448.24,92.96,94.07,312.59,311.69,227.6,232.99
2-May-18,175.225,176.57,1580.98,1569.68,1034.0,1026.05,26.44,26.01,447.23,449.01,94.99,93.51,311.65,313.36,227.0,226.31
1-May-18,166.4102,169.1,1563.22,1582.26,1016.3,1040.75,26.44,26.01,440.01,447.55,93.21,95.0,310.36,313.3,224.57,227.14
30-Apr-18,162.1302,165.26,1582.5,1566.13,1034.42,1018.58,26.4,26.44,448.61,440.78,96.33,93.52,311.07,312.46,226.99,224.9
27-Apr-18,164.0,162.32,1634.01,1572.62,1045.54,1031.45,26.8,26.04,449.84,447.03,97.6,95.82,316.25,311.76,229.5,226.33
26-Apr-18,164.12,164.22,1485.01,1517.96,1033.22,1043.31,26.81,26.73,439.66,446.19,93.55,94.26,310.0,313.98,223.2,225.22
25-Apr-18,162.62,163.65,1458.0,1460.17,1029.75,1022.99,27.0,26.76,436.0,437.96,93.3,92.31,306.37,305.76,220.0,216.66
24-Apr-18,165.67,162.94,1535.8,1460.09,1059.2,1022.64,26.32,26.96,448.84,436.47,96.242,93.12,319.2168,307.02,224.92,221.2
23-Apr-18,166.8348,165.24,1546.69,1517.86,1082.98,1073.81,26.17,26.32,457.0,447.84,95.7436,95.35,329.1499,318.69,229.43,223.88
20-Apr-18,170.595,165.72,1561.2,1527.49,1084.27,1077.32,26.05,26.27,459.86,456.27,95.91,95.0,332.22,327.77,228.69,228.71
19-Apr-18,174.95,172.8,1543.22,1556.91,1069.02,1089.45,26.99,26.15,467.01,462.71,96.44,96.11,332.88,332.7,231.7452,229.04
18-Apr-18,177.81,177.84,1514.65,1527.84,1079.01,1075.39,25.91,26.19,453.75,471.03,96.22,96.44,336.3,334.52,235.5,236.37
17-Apr-18,176.49,178.24,1462.3,1503.83,1061.2,1079.36,25.93,25.68,423.42,435.45,95.0,96.07,329.66,336.06,233.6,237.54
16-Apr-18,175.0301,175.82,1445.0,1441.5,1045.55,1046.1,26.27,25.7,419.7,418.38,94.07,94.17,315.99,307.78,231.772,231.49
13-Apr-18,174.78,174.73,1449.14,1430.79,1046.89,1036.04,26.34,26.16,418.0,414.63,94.05,93.08,317.29,311.65,237.17,231.5
12-Apr-18,173.41,174.14,1439.5,1448.5,1031.47,1037.29,26.24,26.27,414.07,415.05,92.43,93.58,309.7187,309.25,230.0,234.6
11-Apr-18,172.23,172.44,1439.44,1427.05,1032.0,1025.06,26.26,26.14,414.83,412.12,92.01,91.86,302.8847,303.67,227.31,226.24
10-Apr-18,173.0,173.25,1431.99,1436.22,1030.26,1036.5,26.42,26.16,411.61,418.7,92.39,92.88,297.68,298.07,224.72,227.91
